education,experience,industry,interest,location,lookin4,offer,skill,uid
,,"54,47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d062706222d006f2a08
,,"6,96,10",,Paris,"Business Partner,Clients,Co-founders,I am hiring,Projects","Business Partner,Exchange of Ideas,Investment Opportunity,Professional Networking",,59f70d082706222d006f2a09
,,"112,114,7,8,119",,"Paris Area, France","Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Services/Products",,59f70d092706222d006f2a0a
,,"50,127,120",,"Harghita County, Romania","Industry Expertise,I am hiring,Investment Opportunities","Exchange of Ideas,Consultancy Work",,59f70d0b2706222d006f2a0b
,,"94,127",,"Brasov County, Romania",Investment Opportunities,"Job Positions,Services/Products",,59f70d0d2706222d006f2a0c
,,"74,73,9,10,72",,"Strasbourg Area, France","A Mentor,Service/Product Providers,I am hiring","Exchange of Ideas,Job Positions,Mentorship,Services/Products,Socializing",,59f70d0e2706222d006f2a0d
,,"103,98,80,36",,"Strasbourg Area, France","A New Job,Exchange of Ideas,I am hiring,Service/Product Providers","Freelancing,Exchange of Ideas,Industry Expertise,Services/Products,Socializing",,59f70d102706222d006f2a0e
,,,,"Strasbourg Area, France",,,,59f70d132706222d006f2a0f
,,"80,34,23,28",,"Strasbourg Area, France","Business Partner,Clients,Co-founders,Exchange of Ideas,Funding","Business Partner,Co-founders,Freelancing,Mentorship",,59f70d152706222d006f2a10
,,"112,24,111",,Germany,"A Mentor,Professional Networking,Exchange of Ideas,A New Job,Service/Product Providers,I am hiring,Industry Expertise","Exchange of Ideas,Services/Products,Socializing",,59f70d172706222d006f2a11
,,"48,99,80,136,98",,"Nürnberg Area, Germany","A Mentor,Service/Product Providers","Services/Products,Exchange of Ideas",,59f70d192706222d006f2a12
,,47,,"London, United Kingdom",A Mentor,Freelancing,,59f70d1b2706222d006f2a13
,,"70,15",,"Paris Area, France","I am hiring,Service/Product Providers,Exchange of Ideas,A Mentor","Exchange of Ideas,Mentorship,Services/Products,Socializing",,59f70d1c2706222d006f2a14
,,10,,"Milan Area, Italy","Clients,Exchange of Ideas,Internship,I am hiring,Funding","Business Partner,Consultancy Work,Exchange of Ideas,Internship,Mentorship",,59f70d1e2706222d006f2a15
,,"31,94,136",,"Strasbourg Area, France","A New Job,Business Partner,I am hiring,Service/Product Providers,Exchange of Ideas","Services/Products,Socializing",,59f70d202706222d006f2a16
,,"70,12,18,80,15",,"Como Area, Italy","Service/Product Providers,I am hiring,Exchange of Ideas,Business Partner,A New Job","Consultancy Work,Services/Products,Socializing,Exchange of Ideas",,59f70d222706222d006f2a17
,,"69,124,17,70,12","Capoeira,Crossfit,Roller skating,Travel",Paris,"A Mentor,Exchange of Ideas","Exchange of Ideas,Industry Expertise,Mentorship,Consultancy Work,Professional Networking",,59f70d232706222d006f2a18
,,70,,Charenton-le-Pont,"A New Job,I am hiring,Service/Product Providers,Exchange of Ideas","Exchange of Ideas,Mentorship",,59f70d252706222d006f2a19
,,"126,123,131,82",,Greater Los Angeles Area,"Funding,I am hiring,A New Job,A Mentor,Business Partner,Clients,Co-founders,Projects,Industry Expertise","Co-founders,Business Partner,Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Investment,Investment Opportunity,Job Positions,Mentorship",,59f70d272706222d006f2a1a
,,"125,120,12,91,69,86,148,68,74,10,15,98",,"Paris Area, France",A New Job,"Socializing,Investment Opportunity,Mentorship,Exchange of Ideas",,59f70d282706222d006f2a1b
,,127,,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d2a2706222d006f2a1c
,,47,,"Cluj County, Romania",Clients,Co-founders,,59f70d2c2706222d006f2a1d
,,"12,23,17",,Sèvres,"Business Partner,A New Job,Exchange of Ideas,I am hiring,Internship","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Job Positions",,59f70d2d2706222d006f2a1e
,,"118,4,137,6,80",,"London, United Kingdom","A Mentor,Co-founders,Exchange of Ideas,Professional Networking,Industry Expertise","Co-founders,Exchange of Ideas,Consultancy Work,Business Partner",,59f70d2f2706222d006f2a1f
,,"4,47,94,120",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d302706222d006f2a20
,,"19,122,80",,"Brussels Area, Belgium","A Mentor,Exchange of Ideas,I am hiring,Service/Product Providers","Services/Products,Exchange of Ideas,Job Positions",,59f70d322706222d006f2a21
,,"12,96,70,4",,"Amsterdam Area, Netherlands","Funding,Investment Opportunities","Investment Opportunity,Professional Networking",,59f70d332706222d006f2a22
,,4,,"Paris Area, France",Professional Networking,Socializing,,59f70d352706222d006f2a23
,,"4,96,5,6",,"Paris Area, France","A New Job,Clients,Service/Product Providers","Services/Products,Socializing",,59f70d372706222d006f2a24
,,"4,5",,"New Taipei City, Taiwan","A New Job,Clients,Co-founders,Exchange of Ideas,Funding,Industry Expertise","Co-founders,Exchange of Ideas,Consultancy Work,Freelancing",,59f70d392706222d006f2a25
,,"34,6",,N/A,"A New Job,A Mentor,Business Partner,Clients","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas",,59f70d3a2706222d006f2a26
,,"68,96,70,30",,"Amsterdam Area, Netherlands","Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers,Industry Expertise","Consultancy Work,Exchange of Ideas,Freelancing,Job Positions,Mentorship,Services/Products",,59f70d3d2706222d006f2a27
,,"54,47",,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d3f2706222d006f2a28
,,4,,Ukraine,"A New Job,Business Partner","Business Partner,Co-founders,Exchange of Ideas",,59f70d412706222d006f2a29
,,53,,Ukraine,"A New Job,A Mentor,Business Partner","Business Partner,Co-founders,Consultancy Work",,59f70d422706222d006f2a2a
,,4,,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70d442706222d006f2a2b
,,6,,Ukraine,"A New Job,A Mentor,Clients,Co-founders","Business Partner,Co-founders,Exchange of Ideas,Freelancing",,59f70d462706222d006f2a2c
,,"94,147,96",,"Naples Area, Italy","Business Partner,Exchange of Ideas","Business Partner,Exchange of Ideas",,59f70d492706222d006f2a2d
,,"12,54,18,124,17,15,70",,"Paris Area, France","I am hiring,Service/Product Providers,A New Job,A Mentor,Exchange of Ideas","Socializing,Services/Products,Mentorship,Exchange of Ideas",,59f70d4a2706222d006f2a2e
,,"53,120,47,90,128,5",,"Paris Area, France","A New Job,Co-founders,Business Partner",,,59f70d4c2706222d006f2a2f
,,"8,6,80",,"Paris Area, France","Investment Opportunities,I am hiring","Exchange of Ideas,Investment Opportunity,Job Positions,Mentorship",,59f70d4f2706222d006f2a30
,,"54,18,34,140,143,15",,"Paris Area, France","A New Job,Investment Opportunities,Projects","Mentorship,Socializing,Internship,Investment Opportunity",,59f70d522706222d006f2a31
,,"6,80,113",,Paris,"A New Job,Exchange of Ideas,Industry Expertise","Services/Products,Socializing",,59f70d542706222d006f2a32
,,"96,140",,"Paris Area, France","Business Partner,Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Industry Expertise,Job Positions,Mentorship,Services/Products",,59f70d562706222d006f2a33
,,"15,70",,"Paris Area, France","A New Job,A Mentor,I am hiring,Service/Product Providers","Consultancy Work,Exchange of Ideas,Mentorship",,59f70d582706222d006f2a34
,,4,,"Paris Area, France",A New Job,Freelancing,,59f70d592706222d006f2a35
,,"6,50",,"Paris Area, France",Business Partner,Freelancing,,59f70d5b2706222d006f2a36
,,"6,19",,"Paris Area, France",Business Partner,"Investment,Exchange of Ideas",,59f70d5e2706222d006f2a37
,,"12,54,114,15,70",,"Paris Area, France","A New Job,I am hiring","Mentorship,Socializing,Exchange of Ideas,Consultancy Work",,59f70d602706222d006f2a38
,,"70,12,54,15",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Investment,Mentorship,Professional Networking,Socializing",,59f70d622706222d006f2a39
,,"70,12",,"Marseille Area, France","I am hiring,A New Job,Exchange of Ideas,Service/Product Providers,Professional Networking","Consultancy Work,Exchange of Ideas,Mentorship,Services/Products,Socializing",,59f70d642706222d006f2a3a
,,,,"Paris Area, France",,,,59f70d662706222d006f2a3b
,,"14,139,17,70,12",,"Paris Area, France","A New Job,I am hiring","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing",,59f70d682706222d006f2a3c
,,70,,"Paris Area, France","Exchange of Ideas,Professional Networking,Service/Product Providers","Services/Products,Exchange of Ideas",,59f70d692706222d006f2a3d
,,"6,125",,"Paris Area, France",Business Partner,Consultancy Work,,59f70d6b2706222d006f2a3e
,,47,,Ukraine,A New Job,Business Partner,,59f70d6e2706222d006f2a3f
,,35,,Ukraine,"A New Job,A Mentor,Business Partner,Clients,Co-founders",Business Partner,,59f70d6f2706222d006f2a40
,,"12,18,14,15,110",,France,"Exchange of Ideas,I am hiring,Professional Networking,Business Partner","Consultancy Work,Exchange of Ideas,Mentorship,Socializing,Business Partner",,59f70d712706222d006f2a41
,,"70,12,15",,N/A,I am hiring,Mentorship,,59f70d732706222d006f2a42
,,"70,12,124,114",,"Paris Area, France","A New Job,Service/Product Providers","Services/Products,Mentorship",,59f70d752706222d006f2a43
,,"12,15,70",,"Paris Area, France","A New Job,A Mentor,Exchange of Ideas,Professional Networking","Exchange of Ideas,Freelancing,Industry Expertise,Mentorship",,59f70d772706222d006f2a44
,,"70,12,15",,"Paris Area, France","A New Job,I am hiring","Exchange of Ideas,Socializing,Services/Products",,59f70d792706222d006f2a45
,,,,"Paris Area, France",,,,59f70d7b2706222d006f2a46
,,"70,12",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Funding","Exchange of Ideas,Consultancy Work,Mentorship,Socializing",,59f70d7d2706222d006f2a47
,,"12,70",,"Paris Area, France","A New Job,I am hiring","Exchange of Ideas,Mentorship,Services/Products",,59f70d7f2706222d006f2a48
,,"12,125",,"Paris Area, France",I am hiring,Mentorship,,59f70d812706222d006f2a49
,,"12,17,15,70,18",,"Paris Area, France",A New Job,"Exchange of Ideas,Services/Products,Socializing",,59f70d832706222d006f2a4a
,,"12,68,100,98,70",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring","Socializing,Freelancing",,59f70d842706222d006f2a4b
,,"118,4",,Ukraine,"Funding,Industry Expertise,Investment Opportunities,A Mentor,Clients","Exchange of Ideas,Freelancing,Investment,Investment Opportunity,Professional Networking",,59f70d862706222d006f2a4c
,,47,,Albania,"A Mentor,Business Partner",Consultancy Work,,59f70d882706222d006f2a4d
,,"12,18,14,130",,"Paris Area, France","A New Job,I am hiring,Industry Expertise",Socializing,,59f70d8b2706222d006f2a4e
,,"70,12",,Paris,"A Mentor,Exchange of Ideas,A New Job,Professional Networking,Socializing","Socializing,Exchange of Ideas,Industry Expertise,Professional Networking,Talent / Available for Work",,59f70d8d2706222d006f2a4f
,,"70,12,17",,"Paris Area, France","I am hiring,Exchange of Ideas,A New Job","Mentorship,Exchange of Ideas",,59f70d8f2706222d006f2a50
,,70,,Paris,"A New Job,Exchange of Ideas,Professional Networking","Exchange of Ideas,Socializing",,59f70d902706222d006f2a51
,,"15,12,132,14,70",,"Paris Area, France","A Mentor,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Services/Products,Socializing,Mentorship",,59f70d922706222d006f2a52
,,"12,54,70",,"Clermont-Ferrand Area, France",I am hiring,"Exchange of Ideas,Mentorship,Services/Products",,59f70d942706222d006f2a53
,,"70,12",,"Paris Area, France",I am hiring,"Services/Products,Mentorship",,59f70d962706222d006f2a54
,,"12,54,114,15,70",,Grenoble,"A Mentor,Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Services/Products,Mentorship",,59f70d982706222d006f2a55
,,"12,109,65,17",,"Paris Area, France","Service/Product Providers,Professional Networking,I am hiring,Internship,Funding","Services/Products,Socializing,Co-founders,Consultancy Work,Investment",,59f70d9a2706222d006f2a56
,,"70,12,18,23,15",,"Paris Area, France","Professional Networking,I am hiring,A New Job,Exchange of Ideas","Exchange of Ideas,Services/Products,Socializing",,59f70d9c2706222d006f2a57
,,70,,"Naples Area, Italy","I am hiring,Service/Product Providers,Exchange of Ideas,Professional Networking,A Mentor","Consultancy Work,Exchange of Ideas,Freelancing,Services/Products,Socializing",,59f70d9e2706222d006f2a58
,,"15,12,70",,"Paris Area, France","A New Job,Exchange of Ideas,Industry Expertise,I am hiring,Service/Product Providers","Exchange of Ideas,Industry Expertise,Socializing,Services/Products,Mentorship",,59f70da02706222d006f2a59
,,"12,15,70,14",,"Paris Area, France","A New Job,Business Partner,Exchange of Ideas,Industry Expertise,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Services/Products,Socializing",,59f70da22706222d006f2a5a
,,"12,69,80",,"Paris Area, France","A New Job,Exchange of Ideas,A Mentor","Exchange of Ideas,Mentorship,Services/Products,Socializing",,59f70da42706222d006f2a5b
,,"12,54,114,15,70",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Socializing,Services/Products,Mentorship",,59f70da62706222d006f2a5c
,,"12,15",,"Paris Area, France","A New Job,I am hiring","Socializing,Industry Expertise",,59f70da72706222d006f2a5d
,,"70,12,15",,"Paris Area, France","A New Job,I am hiring","Mentorship,Socializing",,59f70da92706222d006f2a5e
,,"12,15,70",,"Paris Area, France","A New Job,I am hiring,Exchange of Ideas","Exchange of Ideas,Socializing",,59f70dab2706222d006f2a5f
,,,,"Paris Area, France",,,,59f70dac2706222d006f2a60
,,"12,114",,"Paris Area, France","A Mentor,Exchange of Ideas,Funding,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Services/Products",,59f70dae2706222d006f2a61
,,"14,15,70",,"Paris Area, France",Service/Product Providers,Exchange of Ideas,,59f70db02706222d006f2a62
,,,,"Paris Area, France","A New Job,Exchange of Ideas","Investment Opportunity,Freelancing,Socializing",,59f70db22706222d006f2a63
,,"70,12,68,17,15",,"Paris Area, France","A New Job,Exchange of Ideas,Professional Networking","Socializing,Exchange of Ideas",,59f70db42706222d006f2a64
,,"12,70",,"Paris Area, France",I am hiring,"Exchange of Ideas,Services/Products",,59f70db62706222d006f2a65
,,"12,54,115,70",,"Geneva Area, Switzerland",Service/Product Providers,Services/Products,,59f70db92706222d006f2a66
,,"12,70",,Vezin-le-Coquet,"A New Job,A Mentor,Exchange of Ideas","Socializing,Services/Products,Exchange of Ideas",,59f70dbb2706222d006f2a67
,,"70,47,12,86",,"Paris Area, France","A New Job,Exchange of Ideas","Exchange of Ideas,Business Partner",,59f70dbd2706222d006f2a68
,,"12,14,15",,Paris,"Exchange of Ideas,Industry Expertise,Business Partner,A Mentor,I am hiring","Business Partner,Exchange of Ideas,Mentorship,Job Positions,Services/Products",,59f70dbf2706222d006f2a69
,,"14,15,70",,"Paris Area, France","Exchange of Ideas,Industry Expertise,I am hiring","Exchange of Ideas,Mentorship,Socializing",,59f70dc02706222d006f2a6a
,,"15,12,103",,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring","Exchange of Ideas,Industry Expertise,Socializing,Mentorship",,59f70dc22706222d006f2a6b
,,"15,103,70,18,12",,"Paris Area, France",Exchange of Ideas,"Freelancing,Exchange of Ideas,Consultancy Work",,59f70dc42706222d006f2a6c
,,"70,12,103,15,68",,"Paris Area, France","A New Job,A Mentor,Funding,I am hiring,Professional Networking","Exchange of Ideas,Freelancing,Mentorship,Socializing,Consultancy Work",,59f70dc72706222d006f2a6d
,,"23,34,74",,"Nantes Area, France",A New Job,"Services/Products,Socializing",,59f70dc82706222d006f2a6e
,,"41,109,91,69,68,88,6,97,139,82,103,108,59",,"Cambridge, United Kingdom","A New Job,A Mentor,Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Freelancing,Mentorship,Services/Products,Socializing",,59f70dca2706222d006f2a6f
,,"70,12,15,16",,"Paris Area, France","A New Job,A Mentor,Exchange of Ideas,I am hiring","Consultancy Work,Exchange of Ideas,Investment Opportunity,Mentorship,Services/Products",,59f70dcc2706222d006f2a70
,,"31,32",,Paris,"Clients,Exchange of Ideas,Funding,I am hiring,Investment Opportunities","Consultancy Work,Exchange of Ideas,Industry Expertise,Mentorship",,59f70dcd2706222d006f2a71
,,"110,38,37,136",,"Rome Area, Italy","Business Partner,Clients,Funding,I am hiring","Business Partner,Consultancy Work,Industry Expertise,Mentorship,Professional Networking",,59f70dcf2706222d006f2a72
,,"19,138,25,143",,Greater Los Angeles Area,"Co-founders,Funding,Exchange of Ideas,Industry Expertise,Investment Opportunities,I am hiring,Projects,Service/Product Providers","Services/Products,Mentorship,Exchange of Ideas,Business Partner",,59f70dd02706222d006f2a73
,,14,,"Paris Area, France","Exchange of Ideas,Business Partner,Internship,I am hiring,Professional Networking,Projects","Business Partner,Exchange of Ideas,Industry Expertise,Internship,Job Positions,Mentorship",,59f70dd22706222d006f2a74
,,"41,129,45,142",,"Paris Area, France","I am hiring,Service/Product Providers","Exchange of Ideas,Industry Expertise,Mentorship,Services/Products,Job Positions",,59f70dd42706222d006f2a75
,,"9,74,10,107",,Washington D.C. Metro Area,I am hiring,"Exchange of Ideas,Mentorship,Services/Products",,59f70dd62706222d006f2a76
,,"120,74,141,9",,"Brussels Area, Belgium","A New Job,A Mentor,Clients,I am hiring,Service/Product Providers,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Services/Products,Socializing,Mentorship,Professional Networking",,59f70dd82706222d006f2a77
,,"41,9",,Greater New York City Area,I am hiring,Mentorship,,59f70dda2706222d006f2a78
,,"70,12",,"Paris Area, France",Service/Product Providers,Mentorship,,59f70ddc2706222d006f2a79
,,"70,4",,"Paris Area, France",A New Job,"Consultancy Work,Freelancing,Industry Expertise",,59f70dde2706222d006f2a7a
,,"63,120",,"Paris Area, France","Projects,Service/Product Providers,Funding","Socializing,Services/Products,Professional Networking",,59f70de02706222d006f2a7b
,,"69,9,10,100,131,79,144",,Jordan,"I am hiring,Clients,Exchange of Ideas","Exchange of Ideas,Freelancing,Mentorship,Services/Products,Consultancy Work,Industry Expertise",,59f70de32706222d006f2a7d
,,"137,104,96,6",,Czech Republic,"Exchange of Ideas,Investment Opportunities","Co-founders,Business Partner,Exchange of Ideas,Industry Expertise,Mentorship,Professional Networking,Socializing",,59f70de52706222d006f2a7e
,,41,,"Paris Area, France",A Mentor,Industry Expertise,,59f70de72706222d006f2a7f
,,4,,N/A,"A New Job,A Mentor,Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,Industry Expertise,Internship,Investment Opportunities,I am hiring,Projects,Professional Networking,Service/Product Providers","Business Partner,Consultancy Work,Industry Expertise,Co-founders,Exchange of Ideas,Freelancing,Internship,Investment,Investment Opportunity,Job Positions,Mentorship,Professional Networking,Socializing,Services/Products",,59f70deb2706222d006f2a81
,,"12,114,70,50",,France,"Exchange of Ideas,Industry Expertise,I am hiring,Professional Networking,A New Job","Business Partner,Consultancy Work,Exchange of Ideas,Mentorship,Services/Products",,59f70ded2706222d006f2a82
,,"70,12",,"Paris Area, France","A New Job,I am hiring","Exchange of Ideas,Socializing,Services/Products",,59f70def2706222d006f2a83
,,"10,9,85,30,124",,Greater New York City Area,"A New Job,A Mentor,I am hiring,Service/Product Providers,Exchange of Ideas","Exchange of Ideas,Industry Expertise,Investment Opportunity,Job Positions,Mentorship,Services/Products",,59f70df12706222d006f2a84
,,"47,31,30",,Uganda,"Business Partner,Clients,Co-founders,Funding,A New Job","Business Partner,Co-founders,Freelancing",,59f70df32706222d006f2a85
,,"4,69,132",,"Paris Area, France",Clients,Professional Networking,,59f70df52706222d006f2a86
,,"24,36,80,142,119",,"Orange County, California Area","Clients,Exchange of Ideas,Funding,Professional Networking,Service/Product Providers,I am hiring,Investment Opportunities","Consultancy Work,Mentorship,Services/Products,Socializing,Job Positions",,59f70df72706222d006f2a87
,,"111,99,38,110,143,37",,Greater New York City Area,"I am hiring,Clients,Business Partner,Exchange of Ideas,A Mentor","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Investment,Mentorship",,59f70df82706222d006f2a88
,,"28,103,130,82,113,35,115,126",,Greater Los Angeles Area,"A Mentor,A New Job,Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,Industry Expertise,Internship,Investment Opportunities,I am hiring,Professional Networking,Projects,Service/Product Providers","Business Partner,Consultancy Work,Co-founders,Exchange of Ideas,Freelancing,Industry Expertise,Internship,Investment,Investment Opportunity,Job Positions",,59f70dfc2706222d006f2a89
,,"34,47",,"Paris Area, France",A New Job,Business Partner,,59f70dfe2706222d006f2a8a
,,"34,19",,"Paris Area, France",Business Partner,Freelancing,,59f70e032706222d006f2a8c
,,70,,"Paris Area, France","Service/Product Providers,I am hiring",Exchange of Ideas,,59f70e062706222d006f2a8d
,,41,,"Paris Area, France",A Mentor,Industry Expertise,,59f70e072706222d006f2a8e
,,"12,15,70,103,17",,"Paris Area, France","A New Job,Industry Expertise,I am hiring","Freelancing,Mentorship,Socializing,Exchange of Ideas,Consultancy Work,Services/Products",,59f70e092706222d006f2a8f
,,"129,5,4,6",,"Paris Area, France","Business Partner,Exchange of Ideas,Industry Expertise","Consultancy Work,Industry Expertise,Internship,Business Partner",,59f70e0b2706222d006f2a90
,,"129,4,28,34,23,140,6",,"Lisbon Area, Portugal","Business Partner,Exchange of Ideas,Investment Opportunities,I am hiring,Service/Product Providers","Services/Products,Mentorship,Exchange of Ideas,Business Partner",,59f70e0d2706222d006f2a91
,,"15,78,17,13,14",,"Barcelona Area, Spain","I am hiring,Exchange of Ideas,Service/Product Providers","Exchange of Ideas,Industry Expertise,Mentorship,Services/Products",,59f70e0f2706222d006f2a92
,,"54,25,18,114,70",,"Barcelona Area, Spain","A New Job,A Mentor,I am hiring,Service/Product Providers",Socializing,,59f70e112706222d006f2a93
,,111,,"Paris Area, France",A Mentor,Industry Expertise,,59f70e142706222d006f2a95
,,"23,19",,"Paris Area, France",A Mentor,Industry Expertise,,59f70e152706222d006f2a96
,,"34,41",,"Paris Area, France",A Mentor,Industry Expertise,,59f70e172706222d006f2a97
,,41,,"Paris Area, France",A Mentor,Exchange of Ideas,,59f70e192706222d006f2a98
,,70,,"Paris Area, France","Exchange of Ideas,I am hiring,Service/Product Providers","Exchange of Ideas,Mentorship,Services/Products",,59f70e1b2706222d006f2a99
,,"63,23,125",,N/A,"Business Partner,Co-founders,Exchange of Ideas,I am hiring","Consultancy Work,Co-founders,Industry Expertise,Mentorship,Socializing",,59f70e1d2706222d006f2a9a
,,80,,"Berlin Area, Germany","I am hiring,Industry Expertise","Mentorship,Professional Networking",,59f70e1f2706222d006f2a9b
,,"6,104",,"Nice Area, France",Business Partner,"Mentorship,Business Partner",,59f70e262706222d006f2a9f
,,"111,69",,"Barcelona Area, Spain",Service/Product Providers,"Industry Expertise,Job Positions,Services/Products",,59f70e282706222d006f2aa0
"Biotechnology,Immuno-oncology",,"12,17,15,70",,Paris,"A Mentor,Service/Product Providers,Professional Networking,Socializing","Services/Products,Socializing,Exchange of Ideas,Consultancy Work",,59f70e2b2706222d006f2aa2
,,"132,6,89",,Ecuador,A New Job,Consultancy Work,,59f70e2d2706222d006f2aa3
,,"12,114,15,70",,"Paris Area, France","A New Job,I am hiring","Consultancy Work,Exchange of Ideas,Co-founders,Industry Expertise,Mentorship,Socializing",,59f70e2f2706222d006f2aa4
,,"99,111,140",,"Miranda Area, Venezuela","A New Job,Clients,I am hiring,Professional Networking","Freelancing,Mentorship,Professional Networking,Socializing",,59f70e312706222d006f2aa5
,,"70,12",,France,Service/Product Providers,Consultancy Work,,59f70e332706222d006f2aa6
,,"12,78",,"Nantes Area, France","A New Job,I am hiring","Exchange of Ideas,Mentorship,Services/Products,Socializing",,59f70e352706222d006f2aa7
,,125,,"Paris Area, France",A New Job,Business Partner,,59f70e372706222d006f2aa8
,,42,,"Paris Area, France","A New Job,A Mentor,Service/Product Providers","Exchange of Ideas,Socializing",,59f70e392706222d006f2aa9
,,"90,148,131,98,79,99",,Greater New York City Area,"A New Job,Clients,Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Consultancy Work,Exchange of Ideas,Freelancing,Industry Expertise,Mentorship,Socializing",,59f70e3a2706222d006f2aaa
,,"34,94,47",,"Paris Area, France",A New Job,Business Partner,,59f70e3c2706222d006f2aab
,,124,,"Paris Area, France","Exchange of Ideas,Professional Networking,Service/Product Providers","Exchange of Ideas,Mentorship,Freelancing",,59f70e412706222d006f2aac
,,"94,52,34,30,80",,"Istanbul, Turkey","Business Partner,Clients,I am hiring,Internship","Business Partner,Professional Networking,Investment",,59f70e422706222d006f2aad
,,12,,"Paris Area, France",I am hiring,Mentorship,,59f70e442706222d006f2aae
,,"12,130,70,97,101",,"Paris Area, France","Service/Product Providers,A Mentor,Exchange of Ideas,I am hiring,Professional Networking","Consultancy Work,Job Positions,Services/Products,Socializing,Business Partner,Exchange of Ideas,Mentorship",,59f70e462706222d006f2aaf
,,"12,15,70",,"Paris Area, France","A New Job,A Mentor","Exchange of Ideas,Socializing",,59f70e482706222d006f2ab0
,,"138,24,112,134",,"Strasbourg Area, France","Clients,Exchange of Ideas,Industry Expertise","Consultancy Work,Exchange of Ideas,Industry Expertise",,59f70e492706222d006f2ab1
,,"44,50",,Czech Republic,"Clients,Business Partner","Socializing,Exchange of Ideas",,59f70e4b2706222d006f2ab2
,,12,,"Paris Area, France","Business Partner,Clients,Service/Product Providers,Industry Expertise,Exchange of Ideas,I am hiring","Business Partner,Exchange of Ideas,Industry Expertise,Mentorship,Professional Networking,Services/Products",,59f70e4d2706222d006f2ab3
,,"12,70",,Paris,"I am hiring,Professional Networking,Service/Product Providers,Exchange of Ideas","Socializing,Business Partner,Consultancy Work,Exchange of Ideas",,59f70e4f2706222d006f2ab4
,,"14,15,70,12",,"Paris Area, France","A New Job,Business Partner,A Mentor,Exchange of Ideas","Business Partner,Co-founders,Consultancy Work,Exchange of Ideas,Freelancing",,59f70e512706222d006f2ab5
,,"41,12,54,101,14,96,106",,"Paris Area, France","A New Job,A Mentor,Exchange of Ideas,Internship,I am hiring,Service/Product Providers,Industry Expertise,Funding,Clients,Business Partner,Professional Networking","Consultancy Work,Exchange of Ideas,Mentorship,Services/Products,Socializing,Co-founders,Business Partner",,59f70e522706222d006f2ab6
,,"12,14,70,103",,"Paris Area, France","A New Job,Business Partner,I am hiring","Mentorship,Services/Products",,59f70e542706222d006f2ab7
,,70,,"Paris Area, France","A New Job,Exchange of Ideas,I am hiring,Service/Product Providers",Socializing,,59f70e562706222d006f2ab8
,,15,,"Nice Area, France",A New Job,Socializing,,59f70e582706222d006f2ab9
,,"15,12,17,11,80",,Sèvres,"A New Job,Professional Networking,Exchange of Ideas","Exchange of Ideas,Socializing,Business Partner,Industry Expertise,Professional Networking","Business Analysis,Cancer Immunotherapy,Communication Channels,Immunology,Market Access,Neurology,Oncology,Project Management,Rheumatology,Social Media",59f70e5a2706222d006f2aba
,,12,,"Perugia Area, Italy","A New Job,A Mentor,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Services/Products,Socializing",,59f70e5c2706222d006f2abb
,,"12,14,15,70",,"Paris Area, France",I am hiring,Mentorship,,59f70e5e2706222d006f2abc
,,"12,78,70",,"Paris Area, France",I am hiring,Investment Opportunity,,59f70e5f2706222d006f2abd
,,70,,"Paris Area, France","Exchange of Ideas,I am hiring,A New Job","Services/Products,Socializing,Mentorship,Exchange of Ideas",,59f70e612706222d006f2abe
